kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Houfová, Barbora, | Máme doma alkoholika /",Česko
"Houser, Pavel, | Grébovské motyky a další pražské legendy /","Česko, Německo, Polsko"
"Houserová, Eva | Most do záhrobí /","Česká republika, Německo"
"Hoza, Jakub, | Sochaři masa /","Aisante, Daleshire"
"Hořava, Matěj, | Mezipřistání /","Gruzie, Spojené státy americké, Spojené království, Ázerbájdžán, Izrael, Česko, Rumunsko"
"Hošek, Karolina, | Příliš vysoká očekávání /","Česko, Československo, Itálie, Kanada, Indie, Británie"
"Hrabal, Bohumil, | Obsluhoval jsem anglického krále :","Česko, Německo"
"Hrabovská, Jana, | Poslední zvonění pro vraha /","Česko, Španělsko, Portugalsko"
"Hrabáková, Hana, | Povídky ke kávě.",Česko
"Hradecký, Daniel, | Tři kapitoly /",Česko
"Hrdlička, Pavel, | Komu to prospívá? /","Česká republika, Itálie, Svatá říše římská"
"Hrnčíř, Daniel | My dva ho nenapsali /","Island, Indie, Itálie, Česko"
"Hrstková, Helena, | Dovnitř /","Česko, Ukrajina"
"Hruška, Emil, | Pohraniční pitaval :","Česká republika, Německo, Československá republika, Spojené státy americké, Polsko"
"Hrušínský, Rudolf, | Agrometal :",Česko
"Hubeňáková, Zuzana, | Chameleon v lentilkách :","Česko, Mexiko, Čína, Německo, Polsko"
"Hubková, Karolína, | Deník tramvajačky /",Česko
"Hušeková, Kristína | Než vybledne den /",Česko
"Hušková, Lucie, | Símka /",Česko
"Hvížďala, Karel, | Věta jako povolání :","Česko, Československo"
"Háblová, Anna Beata, | Směna /",Česko
"Hájková, Dominika | Neutečeš /",Česko
"Hübl, Ondřej, | Opona /","Česko, Itálie, Rusko, Spojené státy americké, Japonsko, Spojené království, Indie, Maledivy, Seychely, Čína, Severní Korea"
"Hřebejková, Hana, | Ať žijí padesátnice :","Česko, Německo, Dánsko"
"Hůlová, Petra, | Nejvyšší karta /","Česko, Vietnam, Polsko, Egypt"
"Isaac, M. A. | Kdo je Ben Camino? /","Česko, Nizozemsko"
"Jabůrek, Václav, | V uniformě beránka /","Německo, Československo, Estonsko, Polsko, Rakousko, Francie, Rusko, Spojené státy americké, Lotyšsko, Turecko"
"Jakeš, Václav, | Nebezpečí z vesmíru /","Česko, Rusko, Čína, Polsko, Maďarsko, Slovensko"
"Jakoubková, Alena, | Pod lampou není vždy tma /","Česko, Srbsko, Černá Hora, Bosna a Hercegovina, Chorvatsko, Slovinsko, Severní Makedonie, Kosovo"
"Jakoubková, Marie, | Hadrová panenka /",Česko
"Janačíková, Petra | Nepro(v)daná :",Česko
"Janeba, Oldřich, | Revolvers /","Česko, Polsko, Anglie"
"Janečková, Klára, | V pasti /","Česko, Ukrajina, Rusko, Francie"
"Janečková, Michaela, | Třešně v rumu /","Kuba, Česko, Ukrajina, Bulharsko, Austrálie, Severní Korea, Spojené státy americké, Rakousko"
"Janoušek, Artur, | Sochař /",Česko
"Janíčková, Marie | Železný klíč /",Česko
"Janštová, Denisa, | Padlý vládce nebes /",Merodie
"Jareš, Vítězslav, | Holky se čtečkou /","Česko, Itálie, Německo, Jugoslávie, Spojené království, Spojené státy americké"
"Javůrek, Štěpán, | Sudetský dům /","Česko, Německo"
"Jařab, David, | Amerikánka /","Česko, Spojené státy americké"
"Jašová, Jana, | Znič to jméno /","Německo, Česko, Nepál, Srí Lanka, Madagaskar, Slovinsko"
"Jehličková, Lucie | Falešná lady /","Spojené království, Indie, Francie, Itálie, Německo"
"Jell, Marcy | Jezdci apokalypsy.","Španělsko, Mauricius, Itálie, Spojené státy americké"
"Jelínková, Martina | Záchytný bod /","Česko, Itálie, Spojené státy americké"
"Jendruchová, Michala, | Když není čas na smutek :","Česko, Kosovo, Ukrajina"
"Ježková, Alena, | Ruce houslisty /","Belgie, Francie, Německo, Rakousko-Uhersko, Rusko, Spojené království"
"Jindra, Jaromír, | Karel IV. a koruna římských králů :","Německo, Česko, Itálie, Rakousko, Francie"
"Jirglová, Petra, | Všechno nejlepší, Anno /","Česko, Chorvatsko, Německo"
"Jirotka, Antonín, | Blues pro žlutého psa /","Česko, Francie"
"Jonášová, Veronika, | Ada /","Česko, Německo, Polsko, Rakousko"
"Jurmanová, Jana, | Potrhlá dovolená /","Česko, Polsko, Německo, Švédsko, Francie, Dánsko, Bulharsko"
"Kadečková, Tereza, | O dracích a lidech /","Česko, Argon"
"Kadlečková, Vilma, | Mycelium.","Česko, Mars"
"Kahuda, Václav, | Prám /","Česká republika, Německo, Rusko, Čína, Írán, Sýrie, Libanon, Spojené státy americké"
"Kaiserová, Zuzana, | Starci života :","Česko, Slovensko"
"Kalenda, František, | Zpověď posledního mnicha /","Portugalsko, Francie, Skotsko"
"Kalivodová, Michaela, | Zuzka v šatech svátečních /","Česko, Spojené království"
"Kapras, Tomáš, | Hovínko na dortu /","Česko, Chorvatsko"
"Kaprálová, Dora, | Utrpení a jiné žánry /","Německo, Česko, Rusko, Spojené státy americké, Vietnam, Jugoslávie, Afghánistán, Kuvajt, Gruzie, Čečensko, Čína, Turecko, Řecko"
"Karolová, Kateřina, | Jiné místo :",Česko
"Katalpa, Jakuba, | Zuzanin dech /","Česko, Itálie, Nizozemsko, Rakousko, Německo, Spojené státy americké"
"Kausc, Emma, | Narušení děje /","Spojené království, Česká republika, Francie, Spojené státy americké, Československo, Německo"
"Kavurová, Hana, | Malenčí :",
"Kašparová, Jana, | Tancuj si svůj sen /","Česko, Etiopie, Tunisko, Pobřeží slonoviny, Ekvádor, Egypt"
"Kašpárek, Michal, | Fosilie /","Kambodža, Řecko, Rumunsko, Itálie, Spojené státy americké, Spojené království, Švédsko, Česko"
"Kellerová, Irena, | Alexandra /","Francie, Spojené království Velké Británie a Irska"
"Kirman, Lubomír, | Skok do tmy /",Česko
"Klabouchová, Petra, | Na plný koule :","Česko, Itálie, Spojené státy americké, Spojené království, Japonsko, Švédsko, Nizozemsko, Rakousko, Chorvatsko"
"Klasová, Nela, | Stín z minulosti /",Česko
"Klevisová, Michaela, | Prokletý kraj /","Česko, Rumunsko"
"Klečka, Jiří, | Papírové domky /","Česko, Francie, Spojené státy americké, Německo"
"Klimek, Hynek, | Staré šumavské legendy /","Česko, Rakousko"
