kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Zástěra, Tomáš, | Opouštím ostrov :","Česko, Dominikánská republika, Chorvatsko, Indie"
"k.elkir, | '84 /","Itálie, Rusko, Spojené státy americké, Česko, Československo"
"Čapka, Hynek, | Neviditelné kořeny /","Německo, Česko"
"Čechal, Jiří | Továrna na skořápky /","Spojené státy americké, Čečensko, Turecko, Súdán, Afghánistán"
"Čechová, Dagmar Digma, | Kdo ti píše? /","Řecko, Česko"
"Čechová, Miřenka, | Baletky /","Česko, Rusko"
"Čekalová, Martina, | Město zrady /",Česko
"Čepek, Petr, | Taxikář :","Česko, Itálie, Švédsko, Mali, Moldavsko, Spojené království"
"Černajová, Vladimíra, | Sejdeme se v pět :","Česko, Polsko, Spojené království, Řecko, Mauricius"
"Černohlávková Večeřová, Barbora, | Tanec mezi vejci, aneb, Život s inženýrem /","Česko, Rakousko, Spojené království"
"Černucká, Veronika, | Valčík pro mrtvé /","Česko, Rakousko-Uhersko"
"Černá, Denisa, | Poslední člověk na planetě Zemi /",Česko
"Černá, Jaroslava, | Krev andělů /",Česko
"Červinková, Magdaléna | Zločin v době pandemie /","Česko, Čína, Island"
"Češka, Stanislav, | Případ rozvaděných bratrů :","Itálie, Německo, Rakousko, Slovensko, Maďarsko, Řecko, Česko"
"Čikovská, Pavlína, | Kde jsem se tu vzala /","Německo, Česko"
"Čtyroká, Marie | Růžové bludičky /","Česko, Francie, Německo, Čína"
"Čuba, Albert, | Ocelové srdce /",Česko
"Řehák, Zdeněk, | Boží potměšilost /","Česká republika, Chorvatsko, Rakousko, Spojené státy americké"
"Říhová, Zuzana, | Cestou špendlíků nebo jehel /",Česko
"Šabach, Petr, | O lidech a psech /","Česko, Ukrajina"
"Šafránková, Daniela, | Za čárou :","Česká republika, Německo"
"Šalé, Michaela, | Kafe a chlup :","Česko, Itálie, Peru, Kolumbie"
"Šefara, Michal, | Křížová cesta /","Česko, Polsko, Německo, Spojené království, Itálie, Španělsko, Francie, Turecko, Rumunsko, Ukrajina, Moldavsko"
"Šenk, David, | Prázdný svět /","Rakousko-Uhersko, Srbsko, Rusko, Německo, Lucembursko, Belgie, Francie, Spojené království, Česko"
"Šesták, Petr, | Vyhoření :","Itálie, Spojené státy americké, Francie, Španělsko, Německo, Švédsko, Japonsko, Korejská republika, Rusko, Rakousko, Česko"
"Ševčíková, Kateřina, | Přízraky noci /","Rugie, Moggast"
"Šilhová, Lucie, | Svedu to na tebe /","Thajsko, Česko"
"Šimek, Jan, | Promrhaná něha /","Česko, Francie, Spojené království, Rusko, Spojené státy americké"
"Škorpilová, Nicole | Syndrom neklidných duší /","Česko, Slovensko, Maďarsko, Spojené státy americké"
"Škrabal, Ondřej, | Cesta k billboardu /","Spojené státy americké, Vietnam, Mexiko, Irák, Indie"
"Šlechta, Vladimír, | Hraničář /","Arkastie, Thonnierika, Likario, Orcigard, Hengerone, Česko"
"Šlik, Petr Hugo, | Zkáza Jezerní kotliny /",Česko
"Šmehlík, František, | Šelma /","Česko, Polsko, Spojené království, Chorvatsko, Kosovo"
"Šmíd, Zdeněk, | Cejch /","Česko, Německo"
"Šolc, Václav, | Nejsem Nikdo /",Česko
"Špaček, Viktor, | Čistý, skromný život /",Česko
"Šponer, Jakub, | Ekstase /",
"Štifter, Jan, | Paví hody /","Česko, Slovensko, Rakousko-Uhersko, Německo, Spojené státy americké, Srbsko, Rusko"
"Štindl, Ondřej, | Tolik popela /","Česko, Írán, Itálie, Spojené království"
"Štolbová, Zdeňka | Spolu každý zvlášť /","Česko, Rakousko, Srbsko, Albánie, Itálie, Francie, Bulharsko, Rumunsko"
"Štraubová, Alena | Léto mezi řádky /","Česko, Španělsko, Německo, Polsko, Francie, Rumunsko"
"Štráfeldová, Milena, | Krycí jméno Studentka :","Česko, Rakousko, Itálie, Rusko, Ukrajina, Československo, Čína, Sovětský svaz"
"Štěchová, Michaela, | Růže z Jericha :","Česko, Německo, Egypt, Francie"
"Štěpánková, Kamila | CoolMom in da house /","Česko, Spojené státy americké"
"Štětina, Jaromír, | U kanónu stál :","Afghánistán, Česko, Československo, Estonsko, Francie, Německo, Polsko, Portugalsko, Rusko, Španělsko, Švédsko"
"Šuláková, Anna, | Fialová /",Země
"Šusta, Richard, | Válka memů.","Česko, Itálie, Švýcarsko"
"Švancara, Jan, | Podzimní boogie-woogie /","Česko, Rusko, Japonsko, Maďarsko"
"Švandrlík, Miloslav, | Půlnoční jezdec /","Česko, Řecko, Itálie"
"Švecová, Jana, | Legenda o Ladě /",Rus
"Švejnohová, Hana, | Mrcha jemně uzená /","Česko, Itálie, Německo, Španělsko"
"Švédová, Zuzana, | Malé tečky světla /",Česko
"Šíková, Lenka, | Trojice /","Lardoga, Andrie, Gordanely"
"Šíp, Karel, | Do hrobu si to nevemu /","Česko, Rusko, Německo, Spojené státy americké, Bulharsko, Československo"
"Šír, Ondřej, | Lásky ze školního dvora :",Česká republika
"Šťastná, Barbora, | Samotářky /","Česko, Čína, Itálie, Nizozemsko"
"Žamboch, Miroslav, | Kapitán /","Česká republika, Spojená aliance států, Stavovská republika, Obchodní liga, Velkovévodství, Svobodné spolkové země"
"Železný, Jakub, | Kinského zahrada :",Česko
"Žemlička, Zdeněk, | Vlčice a královna noci /","Itálie, Německo"
